,Referee R0 G0 - Professor,Referee R1 G0 - PhD-Student,Referee R2 G0 - Professor,Referee R3 G0 - PhD-Student,Referee R4 G0 - Professor,Referee R5 G0 - Researcher,Referee R6 G0 - Researcher,Referee R7 G0 - Professor,Referee R8 G0 - Researcher,Referee R9 G0 - Professor,Referee R10 G0 - Researcher,Referee R11 G0 - Researcher,Referee R12 G0 - Professor,Referee R13 G0 - Professor,Referee R14 G0 - PhD-Student,Referee R15 G0 - Professor,Referee R16 G0 - PhD-Student,Referee R17 G0 - Professor,Referee R18 G0 - Researcher,Referee R19 G0 - Researcher,Referee R20 G1 - Researcher,Referee R21 G1 - Researcher,Referee R22 G1 - Researcher,Referee R23 G1 - Professor,Referee R24 G1 - PhD-Student,Referee R25 G1 - PhD-Student,Referee R26 G1 - Researcher,Referee R27 G1 - PhD-Student,Referee R28 G1 - Researcher,Referee R29 G1 - Professor,Referee R30 G1 - Professor,Referee R31 G1 - Professor,Referee R32 G1 - Researcher,Referee R33 G1 - PhD-Student,Referee R34 G1 - Researcher,Referee R35 G1 - PhD-Student,Referee R36 G1 - PhD-Student,Referee R37 G1 - Professor,Referee R38 G1 - Researcher,Referee R39 G1 - Professor,Referee R40 G2 - PhD-Student,Referee R41 G2 - PhD-Student,Referee R42 G2 - Professor,Referee R43 G2 - PhD-Student,Referee R44 G2 - Researcher,Referee R45 G2 - Researcher,Referee R46 G2 - Researcher,Referee R47 G2 - Researcher,Referee R48 G2 - Professor,Referee R49 G2 - PhD-Student,Referee R50 G2 - Professor,Referee R51 G2 - Professor,Referee R52 G2 - Researcher,Referee R53 G2 - Researcher,Referee R54 G2 - Professor,Referee R55 G2 - Researcher,Referee R56 G2 - Professor,Referee R57 G2 - Researcher,Referee R58 G2 - Professor,Referee R59 G2 - Professor,Referee R60 G3 - Professor,Referee R61 G3 - Professor,Referee R62 G3 - Researcher,Referee R63 G3 - Researcher,Referee R64 G3 - Professor,Referee R65 G3 - PhD-Student,Referee R66 G3 - Professor,Referee R67 G3 - Researcher,Referee R68 G3 - Professor,Referee R69 G3 - PhD-Student,Referee R70 G3 - PhD-Student,Referee R71 G3 - PhD-Student,Referee R72 G3 - Researcher,Referee R73 G3 - Professor,Referee R74 G3 - Professor,Referee R75 G3 - PhD-Student,Referee R76 G3 - Professor,Referee R77 G3 - Professor,Referee R78 G3 - Professor,Referee R79 G3 - PhD-Student,Referee R80 G4 - PhD-Student,Referee R81 G4 - PhD-Student,Referee R82 G4 - Researcher,Referee R83 G4 - PhD-Student,Referee R84 G4 - PhD-Student,Referee R85 G4 - Professor,Referee R86 G4 - PhD-Student,Referee R87 G4 - Researcher,Referee R88 G4 - PhD-Student,Referee R89 G4 - Researcher,Referee R90 G4 - PhD-Student,Referee R91 G4 - PhD-Student,Referee R92 G4 - Researcher,Referee R93 G4 - Professor,Referee R94 G4 - Researcher,Referee R95 G4 - Professor,Referee R96 G4 - PhD-Student,Referee R97 G4 - PhD-Student,Referee R98 G4 - PhD-Student,Referee R99 G4 - PhD-Student
Student S0 G0 - Master-Student,0.9705828943229273,0.8752425947221696,0.9799908594226867,0.9631108324726234,0.9853596946347998,0.9383214893171077,0.9787333319557786,0.8972039371590221,0.9983481231523473,0.9598354902089178,0.9633985307073449,0.9173464723054562,0.9457605979471474,0.927804811861042,0.8959372691755868,0.9668189338821006,0.9366792612485948,0.9819590388946228,0.926642532440497,0.9208617532772514,0.19542362341728564,0.2430675026102461,0.2568205593725762,0.23992909196718354,0.3664228597182899,0.21216462869159414,0.21216462869159414,0.2288342437943038,0.19250341117416464,0.3704296944527572,0.2098639219148984,0.7481481639199982,0.7670136540054728,0.20644089192326665,0.3845591046869742,0.36380593328397703,0.4210800842439327,0.25428204833261,0.5235989508701884,0.3920933621716949,0.18770830997017818,0.37357505919398915,0.18565682081353416,0.5340239646795788,0.5480236656071373,0.4060341375902833,0.21247306317059259,0.3336371465325286,0.20574048752718074,0.23105125482566036,0.1406000245816291,0.3596940512390534,0.162004887284744,0.3642928422234692,0.36501359256197446,0.19267278697244664,0.16787238239770189,0.2598331156543145,0.23414782075488938,0.45553838249316075,0.06251734890916907,0.045292277489717835,-0.012366408003233475,0.13112580767213355,0.046214626688087526,0.09078766854238429,0.22949057072248724,-0.004093308299225551,0.2804725984474961,0.3592859774733738,0.013962136896001799,0.016536729534819803,0.23584123583230915,0.1783435741910121,0.2101693812637809,0.06603523299770722,0.1690967250320467,0.21734163765885722,0.20044759216222816,0.19789756537718817,0.16204000891140208,-0.008391584896914148,0.50883364051975,0.5250154438721645,0.2750437301850487,0.19886361101835642,0.3164067255794063,0.1612141048241944,0.14897756355090203,0.11833523591249118,0.023423244701844398,0.45247235022719035,0.06911278714004646,0.06210647545116138,0.08381967797554832,0.04036022362200521,0.2224818912409281,0.43028745583326355,0.05329477780523015,0.2905964655104498
Student S1 G0 - Undergraduate-Student,0.9789864797765461,0.9442613671813346,0.9383062171428328,0.9999376589276223,0.9629735020667911,0.861049593676256,0.9795082307348064,0.939409301193863,0.9733988723784789,0.9734921894192633,0.9689522857668245,0.9233099822036769,0.9767926958036023,0.9916649374033172,0.9505755253501773,0.9384884339010224,0.9483204972467587,0.959287443749716,0.9761016423801352,0.9216649936315415,0.04446408615488339,0.14007873305038165,0.12041055306477877,0.11079302053985404,0.18049612308986385,0.023364359494247523,0.023364359494247523,0.13804504610563728,0.08205340312185641,0.27541699851213514,0.02335766655565014,0.6363258016694486,0.6586734354672057,0.04892651477383727,0.2568899062475762,0.181122971436514,0.24216327745654756,0.11224757200335594,0.3473720306225221,0.2094713146530067,0.2303471984125588,0.38591102432960284,0.24191957971651265,0.5534352101681709,0.5517547529889849,0.447133977057893,0.18409188164748178,0.3554125906454566,0.1666584500970726,0.24264018681411056,0.22736562047240758,0.3791165335302194,0.21316953015610143,0.41781892608332105,0.3557876031555033,0.2106734327272458,0.18484425787794148,0.2867007047493994,0.24578750583008385,0.42463281615782056,0.2398335479841048,0.22254262573323771,0.16267713030451145,0.2366519745109654,0.22533621057087835,0.20890154020341523,0.3625162844895751,0.15907609779483087,0.36240598991078776,0.41619158084455815,0.19761906542284224,0.16499636886784216,0.37581556347644723,0.3629322009399145,0.38933161472515126,0.23498225078457105,0.22742372907878616,0.355891197074033,0.339760243531699,0.37249490175314676,0.24401395020487113,0.0055948021237755855,0.5199018329709997,0.4715369560089168,0.2882494672263647,0.24530538431875842,0.29906620276450796,0.17289388337917957,0.22296418849809824,0.09930448220376809,-0.002957642620724751,0.4071719073381988,-0.010318358961913195,0.12938297384800876,0.11306874259140837,0.022154892785831402,0.2346510768637322,0.5239366355178762,0.14862632662085395,0.2879849986557692
Student S2 G0 - PhD-Student,0.9710326434335997,0.9198203638187087,0.9366004352377258,0.9696958848991188,0.9812500274928037,0.8687984255168729,0.9339657027282828,0.9621994061867387,0.9667373962858294,0.9597498018981251,0.9263864674103457,0.8700754777324919,0.9505515500822344,0.9638678930189885,0.9433946012003972,0.9060023742341551,0.8962511262237726,0.9519886186674869,0.9419237515882527,0.9746041268437687,-0.024104293772243518,0.1534852122594357,0.08562793686518308,0.024364305222093055,0.14188704249542866,-0.015501057474154395,-0.015501057474154395,0.07178215573457443,-0.013802048504865674,0.16922451768937544,-0.01776576939827737,0.5775028228199135,0.5969007733885899,0.09452525034063539,0.2132008667255607,0.1722003923304254,0.20754222619439933,0.037039615484550495,0.3101741276302237,0.16879063128948496,0.2150290538255384,0.3655557317341749,0.22207536889494317,0.5667775770487498,0.505180106499993,0.37827071594371803,0.1685326120812689,0.37362897257878697,0.1421454721162349,0.18657179734251206,0.17159993201104534,0.3640581103750811,0.16025804274765276,0.40508229358828646,0.36236057682848666,0.21872562977680168,0.16988749768804193,0.21239674951866808,0.17571979731433512,0.3942873168694144,0.079709632763941,0.061241255957487195,-0.006174143188640558,0.09932551469543063,0.06651604848004586,0.066642081504527,0.23079982043931857,0.08715595686730414,0.24058986838948565,0.3228121951388756,0.03682280177020113,0.024180493322236808,0.20853685804374808,0.23586301068713583,0.2304895084956283,0.07824888077902621,0.1107102016676961,0.23553698861845532,0.18085682572767578,0.2490473084825689,0.33425322550122044,0.17644742488667514,0.664107039611323,0.5954412608303083,0.4340988597145858,0.3777350139458796,0.42970928866606284,0.34018291278700985,0.3278424674046793,0.20457004578790183,0.15914322780768245,0.42102633563706454,0.13304532326150803,0.16145107380540857,0.2502122755844972,0.18094030069611014,0.4007010628768506,0.5759226186704338,0.1967289737571412,0.39587590286842406
Student S3 G0 - Undergraduate-Student,0.9185520476202299,0.8944324585044565,0.998203984733325,0.9401849231456781,0.9710977923946108,0.9620594860116113,0.9650137639834169,0.9067692798710395,0.9686404547151162,0.9069959660210143,0.9832868273582992,0.9450385755404945,0.9636521505824396,0.9054789396461944,0.9145202421425009,0.9894754862192818,0.969732259805855,0.9951426742550631,0.9439897189185379,0.9249722891776384,0.23332029178204788,0.194748643790255,0.21793023794985567,0.2458890472950413,0.3999352188180805,0.24729542923757994,0.24729542923757994,0.19618733853657339,0.2334972466245561,0.41544525485197914,0.2477815139307631,0.7477370737526776,0.8052001972089755,0.19564955277109589,0.38536822446640767,0.39552265118671204,0.42482530440318156,0.25864566888374024,0.5605331695515057,0.42795666140901933,-0.0018300344559672582,0.18413931112324713,0.0076924981900152005,0.3548633393046457,0.38759466751300387,0.2505866548398646,0.026896593578069304,0.14086765151078973,0.06542873499967583,0.060411746206600975,-0.019055218950275666,0.1681754604928802,-0.022045265350255708,0.18196640319180954,0.178623535785775,-0.004261081057540486,-0.028970935462771776,0.09826398102828965,0.06778881914392143,0.28320252148696856,0.0193151827539448,0.013536983907760685,0.025636135354187593,0.11540635021826709,0.017019647154430488,0.09885418411193903,0.23213425904628263,0.02248410628805884,0.3122488491706319,0.34849323338308585,0.016763855960008074,0.05214094616602677,0.24102762087154467,0.2100932939861378,0.2069438054204465,0.013199581805321343,0.1533277405500479,0.2223322391106788,0.20269669920642203,0.19030365944462954,0.15983142666445332,-0.0322561993612961,0.4940514416279811,0.5262017920838031,0.17810971809153672,0.14849579732253976,0.2172359229568662,0.14212155850083746,0.1429275498203923,0.07687682884590216,0.00651222384964148,0.4167347394023411,0.0588294425697519,0.07060777602681163,-0.028650858072727978,0.02486114299404972,0.2006051501864301,0.35338225011105434,-0.036761530187243194,0.15895603868709557
Student S4 G0 - Undergraduate-Student,0.971880808178578,0.9050883762882689,0.9162138220887701,0.9808663093382881,0.9541825445851823,0.8715133759918154,0.985443246564216,0.8953625003052746,0.9746427645989112,0.994665733565186,0.9454701187257232,0.9225294181309602,0.92858526526418,0.9656463271626297,0.9069163961323965,0.9322273502105306,0.9247971431606143,0.9287072797567192,0.9260104513795755,0.8785310660271953,0.17088830747708586,0.29535954334598635,0.2850680448463567,0.25502920485534064,0.2955056453023697,0.14666593591850044,0.14666593591850044,0.29887964849082155,0.20514110206125205,0.3828140180115796,0.14525884020914037,0.731288721868766,0.7211406500759907,0.1852781177202518,0.39360770919089244,0.2956068303657747,0.37304154269507284,0.2570414239158155,0.445383220178532,0.3212330703856478,0.36387215301429254,0.5064838812442187,0.37769147020629007,0.6546054530091903,0.679840123488339,0.582938025515485,0.33996508797493397,0.4757862402337008,0.3430772074204813,0.39828793680311764,0.3587696096876048,0.4965234653050814,0.34577803307720323,0.5346215473165741,0.4940956967499709,0.3431011061916532,0.3158261828090755,0.4378804667762761,0.4010469003360357,0.5662711581970021,0.29924653340679513,0.27812388242355496,0.1793319378944842,0.3281498883540241,0.2785202526511166,0.28130135184382343,0.42037589804480313,0.1800863224989532,0.4260842688482506,0.5112747638804135,0.23125276263249364,0.20230323233958325,0.42705527837444696,0.3639140628286756,0.41808334482555237,0.3047559049304024,0.33950109542367,0.40814877305861913,0.396450058248701,0.40792724031897687,0.2562353050504402,0.023902729846489522,0.5112574980878365,0.5041370151131948,0.3495860654624438,0.28013804239029044,0.3866467592415545,0.18313586297937992,0.23412094669565836,0.18854083194792548,0.03996851055363889,0.5252676467812444,0.06321051274864974,0.18253408125808196,0.18896482748351953,0.061850358598179556,0.2428888630535842,0.5740870965511876,0.23256254636586615,0.3942962630363942
Student S5 G0 - Undergraduate-Student,0.9590850688259032,0.922873431601208,0.9784217060920896,0.9674786778409292,0.9996472669510081,0.9423504804192093,0.9676066355777084,0.9542718413543096,0.9859947237415789,0.965155406687177,0.9629535583079802,0.9276088444622066,0.9592299426491434,0.9488737785533377,0.9443892446240872,0.9630912663319342,0.9416618946214665,0.98064141603677,0.9449512480768293,0.9694727281350628,0.14490484092307654,0.2528226187828148,0.21581893405198604,0.18069111808403263,0.3095006100566585,0.1545380463072687,0.1545380463072687,0.19683304476611027,0.1494855098432307,0.32872250250385876,0.15311936601095139,0.7037852676295403,0.7302408754688068,0.2161267373264624,0.35749012360237215,0.33191770808673926,0.3630715039765149,0.19439336592368292,0.47142069693765215,0.33632700615519445,0.16206592285653013,0.3189866115282341,0.17624607394650266,0.512292357830612,0.4973826838409305,0.36881682965740586,0.15257060450530194,0.3138353771642267,0.17700321557060356,0.17880124895191737,0.13328066997381233,0.3106325901758827,0.11436303652339934,0.34881864129299345,0.33023918088860693,0.1620439075222535,0.1158930794680101,0.20852563545046984,0.17341368912550534,0.3898387061734173,0.07162887553707852,0.058676863573568494,0.016693806986336327,0.1493757110428754,0.06334355875521967,0.11779476340830763,0.2671424805750746,0.09058181510134722,0.31529670653812203,0.3910818796047173,0.042296650825790934,0.06176648176313371,0.2471265930559105,0.2400769027369585,0.23554282827180464,0.07163925613195311,0.18414919212272768,0.266038875021947,0.21841344293472473,0.2497735242866436,0.30844390730100535,0.1365984838013771,0.6354900877883387,0.6266735798936793,0.3830372126333464,0.3345235929857195,0.406334171618725,0.3052654349646894,0.29756514966289077,0.22303639577030449,0.15373116425414918,0.49674665439969695,0.17131935856976074,0.18142085868587013,0.18852811594505237,0.17344270317385785,0.3645128559549654,0.5329743477306494,0.15441336738580339,0.3604724142455849
Student S6 G0 - Master-Student,0.930272083368899,0.9262743210317443,0.987407712455903,0.9490482085921251,0.9933216561154837,0.9513305168399961,0.9484798579410312,0.9624065222614661,0.9675297270716383,0.9295776669456742,0.9644945975767666,0.9270663827690178,0.9654004020112453,0.9309345833459417,0.9515253851717157,0.966032207094493,0.947504175109113,0.987065985315135,0.9491277341233891,0.981581955594435,0.13623511761667212,0.20876585473931222,0.16938216850335036,0.15044454806515536,0.3063634397015691,0.15155954237207586,0.15155954237207586,0.1469058333225479,0.13659012318857744,0.31719847502631154,0.15120050856133221,0.6799641193675422,0.7289390949451537,0.20025947765331573,0.33143806066041026,0.3320443827640054,0.3435684280065663,0.1655946493368697,0.4717374249827601,0.33421260246354895,0.04706709188678221,0.20655312900162642,0.06451241267306859,0.411447634679285,0.39226188600656137,0.25988812110836146,0.03920773692795069,0.20499937355660716,0.07925361630899014,0.06393923969362582,0.023894330584686686,0.1982646942343882,-0.0036422348615147773,0.23888354501427572,0.22090729866407918,0.048689924266879556,-0.0001551196872096605,0.09490190287626973,0.058548964107155,0.2817511782463185,0.007890709968391524,0.000673069197550359,-0.003632056661385916,0.098870981858869,0.007155702750933162,0.08022256901078513,0.22970389456943432,0.07855818740517445,0.29384005660487844,0.34985275706398117,0.003617518305547104,0.041823527342734444,0.20665104990974195,0.22411781412072493,0.1945502818801142,0.0026307629075201927,0.1352368133656526,0.23201985814465456,0.1770141788351245,0.21086382735731066,0.31189270912320677,0.1455992570735064,0.6471476200512873,0.6385788108641866,0.3464817183442226,0.32017176399570596,0.36331314187560837,0.3165895969751368,0.302109151524834,0.20296153042330495,0.16219243847863843,0.46069900098891947,0.1772583896447072,0.17521776915669857,0.14123486407370964,0.18208986735143662,0.3744335304075529,0.4885967777091309,0.09930863214640623,0.29560651241719826
Student S7 G0 - Master-Student,0.9511311856278356,0.9068138623869458,0.9773192717153326,0.9603634089837254,0.9698190864240559,0.893809892298604,0.938340297899204,0.9375711735582242,0.9651001043318987,0.9054548511835593,0.9626251592229942,0.8885690953966229,0.9815643299751531,0.938344313393192,0.9333206346465995,0.9421368230917486,0.9366749887633036,0.9909707509500003,0.9663313731781881,0.9586228807610182,0.006859511762629964,0.031460881239358626,0.02223848425512406,0.02646511573883862,0.18748464431072429,0.02668293081802241,0.02668293081802241,0.0009326263913544226,0.009198222991329797,0.20245048628769113,0.026265121798509955,0.5883808212134765,0.6489828351313017,0.019315964268006462,0.18306071264647114,0.19043197736843795,0.22098496573608878,0.039772111405677435,0.3631880196233245,0.21672414650153218,0.010559705997448992,0.203041365843367,0.007425968949347359,0.38988333824810567,0.36016466794390684,0.2138664951955268,-0.0016294301788925955,0.17128434433374526,-0.03381603951103383,0.016359666573784452,-0.03174668386574495,0.19501514273866055,-0.01772674096616084,0.2053592349507215,0.17437920882307295,0.016841531185136156,-0.009169519528037913,0.04952793934749141,0.017954058501675987,0.2508446486836806,-0.017167450981724213,-0.02877712849120401,-0.03448626261455659,0.006022686517366635,-0.024164799612568306,-0.007560621058175658,0.148680310792552,-0.01909439008506463,0.18785725502169343,0.22472903646966594,-0.029422482581305896,-0.03101585230366736,0.1586138195400833,0.17786897887779488,0.16712343813117464,-0.027592095373937208,0.014830158087091427,0.14632339693238258,0.11844559733912147,0.15152091370357382,0.16665402146429342,-0.004217192975229647,0.5289104646932008,0.4834120428028408,0.2107994252548282,0.17397720364978217,0.2123995321124969,0.17036916287730514,0.15627725434215167,0.01647757538991606,-0.009650154845686529,0.2893239295387371,-0.01209252905270837,0.008604810475374097,0.006391284184669594,0.011429593854438624,0.23224029158014084,0.37262074582354887,-0.03740634067593884,0.1607188822938449
Student S8 G0 - PhD-Student,0.9148181461332072,0.9786174924486667,0.9440300940835258,0.9732789201531146,0.9412825284198304,0.8668806824475223,0.9505108082959822,0.9654239190757338,0.9266560101378739,0.910218132645804,0.980922034058186,0.9435694900256709,0.9968163063268115,0.9742842579079208,0.9837997396832968,0.9469330082997317,0.9756833458640455,0.962881204270413,0.9990614130438231,0.9359535989213524,0.03383116153302305,0.062453266459681,0.032369939299702354,0.06490818779849705,0.1603676000684659,0.004997376862409757,0.004997376862409757,0.06347638896412003,0.08056831162202152,0.27969040808944723,0.008407546778297283,0.591177665275345,0.6583811022603981,0.006753458912542282,0.21524202954071625,0.16722317602334374,0.19017926846799965,0.0632951986084828,0.33341354486856584,0.1924335191920098,0.01892924777321237,0.1629661920599741,0.04763055141436131,0.3520341358841518,0.35470213410855894,0.26268156715134316,-0.04312349452751896,0.1410504430287069,-0.010320547484661173,0.03551128642663351,0.05532833343156634,0.15699747256967223,0.001568741891143069,0.21777664785636586,0.13769793710425135,-0.011445524837765597,-0.04327830541351333,0.09031201371901357,0.04030143431768355,0.20763027118718827,0.20561411779570024,0.20159816134549244,0.22097414816569155,0.22099671703770296,0.20852613531869707,0.22345912758101688,0.3766511652060786,0.22444854966423347,0.3986855622096271,0.40235912755150244,0.21913912711545325,0.22043599895959112,0.3858486657644426,0.42581406863420224,0.402073749815094,0.18804901613484856,0.20353699185462804,0.37707659066559823,0.34853163459441105,0.38784319783227217,0.2895288714666864,0.024967089684476508,0.5401644527634389,0.48857660003759007,0.21519263713979028,0.23373724730154982,0.21162996420213886,0.1956444497070619,0.2650195862513426,0.07495959423816825,0.011624545231300618,0.3599458556024897,-0.006975680943531451,0.1713519328446244,0.02523955739477373,0.03989672468914921,0.25366403221650907,0.475294583147154,0.08634679494104903,0.16142933017521868
Student S9 G0 - PhD-Student,0.9979778871737485,0.8481308237590975,0.8991692349741639,0.9685617593730221,0.9450438560957953,0.8152479893796865,0.9418802988287539,0.8726113401231135,0.9747767560864194,0.9698163812862997,0.9014671558537188,0.8308776349159135,0.9121525462186161,0.9475107323940716,0.8654033440689182,0.8761072743218358,0.8600376858277305,0.9212654615848713,0.9029178897946464,0.8859936658776593,-0.0045114239822049255,0.1489038871973027,0.13705766051494833,0.07953846319431375,0.15715008267929187,0.0026038860147341615,0.0026038860147341615,0.12208960049742797,0.0062858495867067,0.1855207621446886,-0.0016201957887798553,0.6058656495460817,0.5929840034090801,0.053314746681622144,0.2237662731889666,0.1548850184096699,0.2418186075073437,0.08967737808792786,0.31554058986572314,0.18154869121940742,0.36827706452191605,0.5443675783353402,0.35223824406324283,0.6926543414617264,0.6607667424329055,0.5280455349385154,0.34759607252670444,0.5097328154076478,0.25696173943126627,0.360347717829953,0.29995381386992703,0.5382238596879115,0.3440998893393942,0.5393291318544862,0.508445149001301,0.3743316715376178,0.3546340793199679,0.38435180615739983,0.3590689090833533,0.56862129973712,0.15038940969980405,0.12040256165829566,-0.0064772312944412,0.12570439924639856,0.11956709483773098,0.07171303359197542,0.22425645648224762,-0.0011888917481434431,0.20840684339954502,0.3101107364226456,0.05866349260382088,-0.0030262531298102255,0.23816577419937568,0.19143506371405516,0.2541257565588575,0.15705102243474825,0.1290989305327717,0.2138350592844684,0.20378713037850982,0.23802088953554756,0.15907195212814432,-0.004507682337006689,0.4914813325411467,0.4351623849357711,0.3396699300486614,0.23133721018459108,0.3547101916526972,0.15383989814577956,0.14899936554130377,0.08506283609403902,-0.01448040398175441,0.37270461416740813,-0.01798173257936734,0.021263781100684716,0.17755295363454465,0.004685358803436911,0.21736897026896063,0.5006602874818156,0.14084059619410166,0.3712558891598157
